Frame#,Object_ID,Classification,Left,Top,Right,Bottom,Dist_x(mm),Dist_y(mm)
1,1,2,293,267,309,327,12201,9168
2,1,2,293,267,309,327,12201,9168
3,1,2,293,267,309,327,12201,9168
4,1,2,293,267,309,327,12201,9168
5,1,2,293,267,309,327,12201,9168
6,1,2,293,267,309,327,12201,9168
7,1,2,293,267,309,327,12201,9168
8,1,2,293,267,309,327,12201,9168
9,1,2,293,267,309,327,12201,9168
10,1,2,293,267,309,327,12201,9168
11,1,2,293,267,309,327,12201,9168
12,1,2,293,267,309,327,12201,9168
13,1,2,293,267,309,327,12201,9168
14,1,2,293,267,309,327,12201,9168
15,1,2,293,267,309,327,12201,9168
16,1,2,293,267,309,327,12201,9168
17,1,2,293,267,309,327,12201,9168
18,1,2,293,267,309,327,12201,9168
19,1,2,293,267,309,327,12201,9168
20,1,2,293,267,309,327,12201,9168
21,1,2,293,267,309,327,12201,9168
22,1,2,293,267,309,327,12201,9168
23,1,2,293,267,309,327,12201,9168
24,1,2,293,267,309,327,12201,9168
25,1,2,293,267,309,327,12201,9168
26,1,2,293,267,309,327,12201,9168
27,1,2,293,267,309,327,12201,9168
28,1,2,293,267,309,327,12201,9168
29,1,2,293,267,309,327,12201,9168
30,1,2,293,267,309,327,12201,9168
31,1,2,293,267,309,327,12201,9168
32,1,2,293,267,309,327,12201,9168
33,1,2,293,267,309,327,12201,9168
34,1,2,293,267,309,327,12201,9168
35,1,2,293,267,309,327,12201,9168
36,1,2,293,267,309,327,12201,9168
37,1,2,293,267,309,327,12201,9168
38,1,2,293,267,309,327,12201,9168
39,1,2,293,267,309,327,12201,9168
40,1,2,293,267,309,327,12201,9168
41,1,2,293,267,309,327,12201,9168
42,1,2,293,267,309,327,12201,9168
43,1,2,293,267,309,327,12201,9168
44,1,2,293,267,309,327,12201,9168
45,1,2,293,267,309,327,12201,9168
46,1,2,293,267,309,327,12201,9168
47,1,2,293,267,309,327,12201,9168
48,1,2,293,267,309,327,12201,9168
49,1,2,293,267,309,327,12201,9168
50,1,2,293,267,309,327,12201,9168
51,1,2,293,267,309,327,12201,9168
52,1,2,293,267,309,327,12201,9168
53,1,2,292,267,308,327,12178,9189
54,1,2,291,267,307,327,12156,9209
55,1,2,291,267,307,327,12156,9209
56,1,2,290,267,307,327,12133,9230
57,1,2,290,267,307,327,12133,9230
58,1,2,289,267,306,327,12111,9250
59,1,2,288,267,306,327,12111,9250
60,1,2,288,267,306,327,12111,9250
61,1,2,287,267,306,327,12088,9271
62,1,2,287,267,306,327,12088,9271
63,1,2,286,267,305,327,12065,9291
64,1,2,286,267,305,327,12065,9291
65,1,2,285,267,304,327,12042,9311
66,1,2,285,267,304,327,12042,9311
67,1,2,284,267,303,327,12020,9331
68,1,2,284,267,303,327,12020,9331
69,1,2,283,267,302,327,11997,9351
70,1,2,283,267,302,327,11997,9351
71,1,2,282,267,301,327,11974,9371
72,1,2,282,267,301,327,11974,9371
73,1,2,281,267,300,327,11951,9391
74,1,2,281,267,300,327,11951,9391
75,1,2,280,267,299,327,11928,9411
76,1,2,280,267,299,327,11928,9411
77,1,2,279,267,298,327,11905,9431
78,1,2,279,267,298,327,11905,9431
79,1,2,278,267,297,327,11882,9451
80,1,2,278,267,297,327,11882,9451
81,1,2,277,267,297,327,11882,9451
82,1,2,277,267,297,327,11882,9451
83,1,2,276,266,295,326,12138,9848
84,1,2,276,266,295,326,12138,9848
85,1,2,275,266,294,326,12114,9868
86,1,2,275,266,294,326,12114,9868
87,1,2,275,266,294,327,11812,9510
88,1,2,274,266,293,327,11789,9529
89,1,2,274,266,293,327,11789,9529
90,1,2,273,266,292,327,11765,9549
91,1,2,273,266,292,328,11486,9214
92,1,2,273,266,292,328,11486,9214
93,1,2,272,266,291,328,11464,9233
94,1,2,271,266,290,328,11441,9252
95,1,2,270,266,290,328,11441,9252
96,1,2,269,266,289,328,11418,9270
97,1,2,268,266,289,328,11396,9289
98,1,2,267,266,288,328,11373,9307
99,1,2,266,266,287,328,11350,9326
100,1,2,265,266,287,328,11350,9326
101,1,2,264,267,287,330,10834,8732
102,1,2,264,267,287,330,10834,8732
103,1,2,263,267,286,330,10813,8749
104,1,2,262,267,285,330,10792,8766
105,1,2,262,267,285,330,10792,8766
106,1,2,261,267,284,330,10770,8784
107,1,2,261,267,284,330,10770,8784
108,1,2,260,267,283,330,10749,8801
109,1,2,259,267,282,330,10727,8818
110,1,2,259,267,282,330,10727,8818
111,1,2,258,267,281,330,10705,8834
112,1,2,258,267,281,330,10705,8834
113,1,2,257,266,279,329,10917,9151
114,1,2,256,266,278,329,10894,9168
115,1,2,255,266,276,329,10849,9203
116,1,2,255,266,276,329,10849,9203
117,1,2,254,266,275,329,10827,9220
118,1,2,253,265,273,328,11050,9561
119,1,2,253,265,273,328,11050,9561
120,1,2,252,265,271,328,11003,9597
121,1,2,251,265,270,329,10736,9289
122,1,2,251,265,270,329,10736,9289
123,1,2,250,265,269,329,10713,9306
124,1,2,250,265,269,329,10713,9306
125,1,2,249,265,268,329,10691,9322
126,1,2,249,265,268,329,10691,9322
127,1,2,249,265,268,329,10691,9322
128,1,2,248,265,267,329,10668,9339
129,1,2,248,265,267,329,10668,9339
130,1,2,247,265,266,329,10645,9356
131,1,2,247,266,267,331,10232,8747
132,1,2,247,266,267,331,10232,8747
133,1,2,246,265,266,330,10421,9049
134,1,2,245,265,265,330,10399,9066
135,1,2,244,265,264,330,10376,9082
136,1,2,244,265,264,330,10376,9082
137,1,2,243,265,263,330,10354,9098
138,1,2,242,265,262,330,10332,9114
139,1,2,242,265,262,330,10332,9114
140,1,2,241,265,261,330,10310,9130
141,1,2,240,265,260,331,10082,8856
142,1,2,240,265,260,331,10082,8856
143,1,2,238,265,258,331,10038,8886
144,1,2,237,265,258,331,10016,8901
145,1,2,236,265,258,331,10016,8901
146,1,2,235,265,258,331,9995,8917
147,1,2,234,265,258,331,9995,8917
148,1,2,232,265,256,331,9951,8947
149,1,2,231,265,256,331,9929,8962
150,1,2,230,265,256,331,9929,8962
151,1,2,228,265,256,331,9907,8977
152,1,2,228,265,256,331,9907,8977
153,1,2,227,265,254,331,9863,9007
154,1,2,227,265,253,331,9863,9007
155,1,2,227,265,252,331,9841,9021
156,1,2,227,265,251,331,9841,9021
157,1,2,227,265,251,331,9841,9021
158,1,2,226,265,249,331,9797,9051
159,1,2,226,265,248,331,9797,9051
160,1,2,226,265,247,331,9774,9065
161,1,2,226,265,246,332,9591,8787
162,1,2,226,265,246,332,9591,8787
163,1,2,224,265,244,332,9548,8815
164,1,2,223,265,244,332,9526,8829
165,1,2,222,265,243,332,9505,8843
166,1,2,221,265,243,332,9505,8843
167,1,2,220,265,242,332,9483,8857
168,1,2,218,265,241,332,9440,8885
169,1,2,217,265,240,332,9418,8898
170,1,2,216,265,240,332,9418,8898
171,1,2,214,266,239,333,9208,8659
172,1,2,214,266,239,333,9208,8659
173,1,2,213,265,237,332,9352,8939
174,1,2,213,265,237,332,9352,8939
175,1,2,213,265,236,332,9330,8953
176,1,2,212,265,235,332,9308,8966
177,1,2,212,265,235,332,9308,8966
178,1,2,212,265,234,332,9308,8966
179,1,2,211,265,233,332,9286,8980
180,1,2,211,265,232,332,9264,8993
181,1,2,211,265,232,333,9102,8725
182,1,2,211,265,232,333,9102,8725
183,1,2,209,265,230,333,9059,8751
184,1,2,207,265,229,333,9037,8764
185,1,2,206,265,229,333,9016,8776
186,1,2,204,265,228,333,8994,8789
187,1,2,203,265,228,333,8973,8802
188,1,2,201,265,227,333,8951,8814
189,1,2,199,265,226,333,8908,8839
190,1,2,198,265,226,333,8908,8839
191,1,2,195,265,225,334,8718,8608
192,1,2,195,265,225,334,8718,8608
193,1,2,194,265,223,334,8676,8632
194,1,2,194,265,223,334,8676,8632
195,1,2,193,265,222,334,8655,8643
196,1,2,193,265,221,334,8655,8643
197,1,2,193,265,221,334,8655,8643
198,1,2,192,265,220,334,8634,8655
199,1,2,192,265,219,334,8613,8667
200,1,2,191,265,218,334,8591,8679
201,1,2,191,265,218,334,8591,8679
202,1,2,191,265,218,334,8591,8679
203,1,2,190,265,216,334,8570,8690
204,1,2,189,265,215,334,8549,8702
205,1,2,189,265,214,334,8528,8714
206,1,2,188,265,213,334,8506,8725
207,1,2,188,265,212,334,8506,8725
208,1,2,187,265,211,334,8485,8737
209,1,2,186,265,209,334,8442,8759
210,1,2,186,265,209,334,8442,8759
211,1,2,185,265,207,335,8291,8524
212,1,2,185,265,207,335,8291,8524
213,1,2,184,264,206,334,8399,8782
214,1,2,184,264,206,334,8399,8782
215,1,2,183,264,205,334,8378,8793
216,1,2,183,264,205,335,8249,8546
217,1,2,182,264,204,335,8228,8557
218,1,2,182,263,204,334,8356,8804
219,1,2,181,263,203,335,8207,8567
220,1,2,181,263,203,335,8207,8567
221,1,2,180,263,202,336,8066,8343
222,1,2,180,263,202,336,8066,8343
223,1,2,179,263,201,336,8046,8354
224,1,2,178,263,200,336,8025,8364
225,1,2,177,263,199,336,8005,8374
226,1,2,176,263,198,336,7984,8385
227,1,2,175,263,197,336,7964,8395
228,1,2,174,263,196,336,7943,8405
229,1,2,173,263,195,336,7923,8415
230,1,2,172,263,194,336,7902,8425
231,1,2,170,263,193,336,7861,8445
232,1,2,170,263,193,336,7861,8445
233,1,2,168,263,192,336,7840,8455
234,1,2,167,263,192,336,7819,8465
235,1,2,166,263,192,336,7819,8465
236,1,2,164,263,191,336,7778,8484
237,1,2,163,263,191,336,7778,8484
238,1,2,162,263,191,336,7757,8494
239,1,2,160,263,190,336,7736,8504
240,1,2,159,263,190,336,7715,8513
241,1,2,157,264,190,337,7591,8296
242,1,2,157,264,190,337,7591,8296
243,1,2,156,263,188,336,7674,8532
244,1,2,156,263,187,336,7653,8542
245,1,2,155,263,185,336,7632,8551
246,1,2,155,263,184,336,7611,8560
247,1,2,155,263,183,336,7611,8560
248,1,2,154,262,181,335,7675,8820
249,1,2,154,262,180,335,7675,8820
250,1,2,153,262,178,335,7632,8839
251,1,2,153,262,176,336,7506,8606
252,1,2,153,262,176,336,7506,8606
253,1,2,151,262,174,336,7464,8624
254,1,2,150,262,174,336,7464,8624
255,1,2,148,262,173,336,7421,8642
256,1,2,147,262,172,336,7400,8651
257,1,2,146,262,172,336,7400,8651
258,1,2,144,262,171,336,7358,8668
259,1,2,143,262,170,336,7337,8677
260,1,2,141,262,169,336,7315,8686
261,1,2,139,263,169,337,7201,8463
262,1,2,139,263,169,337,7201,8463
263,1,2,138,262,166,336,7251,8711
264,1,2,137,262,164,336,7209,8728
265,1,2,137,262,163,336,7209,8728
266,1,2,136,262,161,336,7166,8745
267,1,2,136,262,160,336,7166,8745
268,1,2,135,262,158,336,7123,8761
269,1,2,134,262,156,336,7102,8769
270,1,2,134,262,155,336,7080,8777
